Imie,Umiejetnosci Angular,Umiejetnosci Java,Umiejetnosci UI/UX,Umiejetnosci SQL,Znajomosc angielskiego,Suma Umiejetnosci,Wynagrodzenie
Kenna Hodges,0.33,0.97,0.13,1.0,1.0,3.43,78
Matthew Turzak,0.0,0.34,0.96,0.0,0.0,1.3,59
Jose Killoren,0.56,0.31,0.15,0.51,0.45,1.98,65
David Becker,0.18,0.78,0.67,0.7,1.0,3.33,71
Maren Zarella,0.54,0.0,1.0,0.29,0.36,2.19,66
Karen Christensen,0.0,0.13,1.0,0.14,0.09,1.36,36
Bruce Mitchell,0.25,1.0,0.34,0.6,0.0,2.19,61
Michael Evans,0.13,0.0,0.76,0.81,0.0,1.7,67
Michael Howell,0.37,1.0,0.0,0.51,0.0,1.88,54
James Walker,0.76,0.09,0.93,0.0,0.5,2.28,33
Sallie Morehead,0.8,0.47,0.69,0.67,0.64,3.27,77
Dorothea Morris,0.78,1.0,1.0,0.54,0.62,3.94,75
Violet Devine,0.49,0.76,0.83,0.63,0.0,2.71,91
Carmon Marshall,0.53,0.26,0.93,0.28,0.48,2.48,48
Eloise Nadeau,0.54,0.34,0.03,0.82,0.11,1.84,31
Gary Steele,0.0,0.0,1.0,0.81,0.41,2.22,53
Sheila Figueroa,0.46,0.46,0.55,0.98,1.0,3.45,73
Marvin Delgadillo,0.69,0.83,0.77,0.56,0.65,3.5,88
Marsha Marte,0.64,0.38,0.94,0.73,0.7,3.39,70
Donna Fisher,0.38,0.38,0.87,0.65,0.05,2.33,49
William Powell,1.0,1.0,0.58,0.56,0.0,3.14,75
Michael Echevarria,0.21,1.0,0.17,0.57,0.5,2.45,63
Felice Hussey,0.0,0.82,1.0,0.0,0.69,2.51,30
James Salinas,0.0,0.12,0.37,0.44,0.67,1.6,63
Linda Busse,0.84,0.8,0.69,0.43,0.47,3.23,73
David Hurd,0.0,0.79,0.46,0.6,0.62,2.47,39
Mitchell Leyva,0.9,0.0,0.54,0.1,0.23,1.77,51
Priscilla Humphreys,1.0,0.0,0.41,0.82,0.55,2.78,93
Joseph Carroll,0.3,0.06,0.81,0.0,0.0,1.17,59
Robert Stephens,0.8,0.3,0.18,0.23,0.32,1.83,34
Brenda Kleeb,0.38,0.42,1.0,0.13,0.0,1.93,36
Thomas Cano,0.0,0.56,1.0,0.29,1.0,2.85,72
Charles Morrow,0.49,0.7,0.0,0.56,1.0,2.75,75
Louis Decker,0.0,0.96,0.0,0.0,0.33,1.29,31
Christopher Stansel,0.81,1.0,1.0,1.0,0.08,3.89,97
Robert Gibson,0.5,0.21,0.6,0.0,1.0,2.31,33
John Horne,1.0,0.22,0.77,0.89,0.0,2.88,70
Austin Ivie,0.34,1.0,0.33,0.49,0.0,2.16,35
Teresa Ganison,1.0,0.62,0.14,0.0,0.44,2.2,65
Jennifer Jackson,0.0,0.17,0.0,0.91,0.0,1.08,55
Robert Lipham,0.19,0.1,0.0,0.0,0.48,0.77,31
Peter Lee,1.0,0.48,0.03,0.0,0.0,1.51,52
Frank Carpenter,0.14,0.8,0.64,0.5,0.52,2.6,46
John Kepley,0.68,0.26,0.9,0.6,0.53,2.97,76
Michael Curry,0.14,0.5,0.0,0.75,0.85,2.24,45
Katie Townley,0.44,1.0,0.0,1.0,0.0,2.44,42
James Brown,0.0,0.03,0.15,0.35,0.37,0.9,59
William Preyer,0.33,0.49,0.0,1.0,0.47,2.29,42
Jose Kirwan,0.56,0.17,0.39,0.04,0.0,1.16,60
Michael Almanza,0.0,0.75,0.0,0.45,0.02,1.22,48
Christopher Lancaster,0.99,0.0,0.0,0.24,0.58,1.81,38
John Williams,0.72,0.56,1.0,0.88,0.0,3.16,84
Diana Ferguson,0.74,0.37,0.0,0.78,0.0,1.89,62
Esther Carlson,0.0,0.11,0.0,1.0,0.49,1.6,40
William Cox,1.0,1.0,0.85,0.55,1.0,4.4,82
Frank Scott,0.99,0.0,0.65,0.25,0.0,1.89,57
Stacy Toney,0.08,1.0,0.08,0.48,0.94,2.58,58
Donna Roemmich,0.12,0.73,0.58,0.0,0.13,1.56,61
Robin Clark,0.02,0.99,1.0,0.61,0.34,2.96,87
Patsy King,1.0,0.58,0.0,0.9,0.78,3.26,93
Hazel Heard,1.0,1.0,0.18,0.96,1.0,4.14,84
Jimmy Owens,0.64,0.66,0.29,0.0,0.0,1.59,43
Julie Hooper,0.0,0.27,0.0,0.0,0.15,0.42,67
Michael Crogan,0.0,0.53,0.21,0.26,0.02,1.02,52
Greg Douglass,1.0,1.0,0.96,0.13,0.21,3.3,88
Jerry Phillips,0.76,0.26,0.0,1.0,0.56,2.58,38
Angela Cameron,0.75,0.49,0.1,0.35,0.34,2.03,37
Carmelita Seidman,0.59,0.44,0.75,0.0,0.64,2.42,39
Lisa Hobbs,0.51,0.34,0.6,0.84,0.4,2.69,65
William Mckay,0.0,0.0,0.48,0.34,0.6,1.42,61
Edith Nobel,0.22,0.08,1.0,0.57,0.0,1.87,49
Patricia Hernandez,0.22,0.33,0.17,1.0,0.73,2.45,33
Otis Barnett,0.7,0.09,0.0,1.0,0.48,2.27,55
Jennifer Warnock,0.38,0.0,0.16,0.81,0.51,1.86,50
Sarah Becker,0.0,0.97,0.68,0.0,0.68,2.33,53
Terry Wakeman,0.15,0.62,1.0,0.42,0.4,2.59,52
Ana Riggs,0.32,0.63,0.65,1.0,0.15,2.75,72
David Natale,0.83,0.89,0.38,0.0,0.25,2.35,61
Otis Pale,0.44,0.6,1.0,1.0,0.37,3.41,86
Megan Venable,0.29,1.0,0.61,0.87,0.29,3.06,71
Whitney Cameron,0.0,0.2,0.22,0.86,1.0,2.28,37
Carl Sewell,0.56,0.4,0.43,0.44,0.99,2.82,79
Henrietta Alexander,0.33,0.0,0.0,0.25,1.0,1.58,40
Betty Blevins,0.09,0.64,0.0,0.21,0.47,1.41,30
Thomas Thomas,0.84,0.62,0.16,1.0,1.0,3.62,92
Emily Wright,0.0,0.57,0.0,0.07,0.84,1.48,67
Kent Mendez,0.11,0.46,0.69,0.39,1.0,2.65,30
Ray Jones,0.0,0.38,0.41,0.01,0.62,1.42,50
Kathleen Miller,0.0,0.57,1.0,0.03,0.0,1.6,41
Priscilla Brown,0.96,1.0,0.0,1.0,0.55,3.51,81
Linda Churchwell,0.0,0.27,0.0,0.0,0.51,0.78,59
Tanya Cooke,1.0,0.0,0.74,0.46,0.22,2.42,37
Mavis Mitchell,0.0,0.0,0.5,0.84,0.2,1.54,40
Brent Saldana,0.48,0.18,1.0,0.19,0.15,2.0,47
Flora Lewis,1.0,0.45,1.0,0.09,0.0,2.54,58
Walter Petty,0.41,1.0,0.9,0.65,0.86,3.82,86
Sara Johnson,0.27,0.0,0.0,0.0,0.0,0.27,36
Carolyn Ferenz,0.61,0.5,0.4,0.1,0.32,1.93,59
Victor Pham,0.01,1.0,0.96,0.19,0.0,2.16,59
Neal Morgan,0.0,0.0,0.0,0.36,0.0,0.36,44
Susan Froedge,0.0,0.0,0.43,0.0,0.0,0.43,53
Jean Foster,0.32,1.0,0.0,0.42,0.57,2.31,35
June Reyes,0.81,0.0,1.0,1.0,0.53,3.34,76
Mary Howell,0.24,0.5,0.66,0.24,0.85,2.49,34
Nicole Humphrys,0.35,0.0,0.0,0.37,0.0,0.72,52
Noriko Kelly,0.78,0.15,0.38,0.96,0.41,2.68,66
Ruth Cawley,0.0,0.0,0.48,0.22,0.93,1.63,65
Ernest Hagen,0.66,0.6,0.3,1.0,0.67,3.23,87
Rocio Scarborough,0.0,0.26,0.0,0.56,0.62,1.44,41
John Baker,1.0,0.35,0.99,0.7,0.0,3.04,87
Natalie Maine,0.44,0.15,0.61,0.0,0.66,1.86,63
Richard Mink,0.92,1.0,0.0,1.0,1.0,3.92,89
Beverly Clark,0.0,0.0,0.11,0.16,0.44,0.71,55
Tammy Wyman,0.0,1.0,0.27,0.0,0.53,1.8,55
Terry Lange,1.0,0.99,0.44,0.91,0.0,3.34,70
Matthew Powell,0.57,1.0,0.32,0.31,0.53,2.73,70
Claire Cody,0.67,1.0,1.0,0.0,0.94,3.61,91
Rebecca Stavnes,0.97,0.68,0.23,0.43,0.66,2.97,98
Barbara Kimura,0.0,0.0,0.01,0.95,0.04,1.0,42
Arturo Slone,0.44,1.0,0.8,0.61,0.0,2.85,91
Sue Panter,0.38,0.73,0.99,0.0,0.1,2.2,68
Thomas Hubbard,0.32,0.73,0.57,0.51,0.0,2.13,55
Molly Ramsey,1.0,0.35,0.24,0.42,1.0,3.01,80
Paulette Ramsey,1.0,0.2,0.37,0.86,0.0,2.43,36
Robert Gay,0.0,0.0,0.0,0.0,0.66,0.66,67
Jenette Wilson,0.0,0.29,0.26,0.0,1.0,1.55,44
Magnolia Gray,0.68,0.0,0.99,0.91,0.82,3.4,84
Curtis Edwards,0.51,0.85,0.31,0.28,0.27,2.22,54
Jeannine Calderon,0.0,0.81,1.0,0.05,1.0,2.86,82
Shaunna Deason,0.32,0.0,0.56,0.46,0.0,1.34,66
Ryan Speller,0.41,0.87,0.4,0.61,0.27,2.56,60
Paul Duty,0.0,0.0,0.97,0.16,0.55,1.68,54
Carl Braatz,0.0,0.57,0.73,0.33,0.94,2.57,34
Rita Uy,0.73,0.0,0.97,0.96,0.57,3.23,82
Elton Gullixson,0.86,0.0,0.21,1.0,0.15,2.22,65
Clarence Taylor,0.0,0.0,0.25,0.15,0.42,0.82,36
Mark Scott,0.95,0.03,0.53,0.25,0.31,2.07,59
Adriana Benavidez,0.5,1.0,0.23,0.29,0.94,2.96,85
Timothy Conder,0.84,0.25,0.0,0.71,0.0,1.8,34
James Fisher,0.13,0.66,0.0,0.41,1.0,2.2,46
Tonia Miller,0.55,0.0,0.31,0.49,0.44,1.79,49
Heather Jeffery,0.17,0.0,0.1,1.0,0.09,1.36,37
Sherly Huot,0.0,0.49,0.84,0.0,1.0,2.33,44
Sonia Layman,0.0,0.72,1.0,0.15,0.28,2.15,67
Eric Gaddis,0.19,0.12,0.77,0.0,0.0,1.08,41
David Perez,0.0,0.0,0.37,0.31,0.0,0.68,42
Jay Mccubbin,0.73,0.25,0.34,0.54,0.95,2.81,84
Ruth Grabe,0.85,0.99,0.0,0.72,0.48,3.04,78
Sheila Horton,0.57,0.13,0.0,0.0,0.0,0.7,39
Travis Effinger,0.62,0.82,0.72,0.53,0.17,2.86,82
Georgia Chang,0.0,0.0,0.04,0.54,0.21,0.79,41
Anna Fulton,0.41,0.0,0.0,0.28,0.96,1.65,68
Joyce Ferguson,0.0,0.68,0.13,0.35,0.5,1.66,53
Miriam Williams,0.11,0.63,0.34,0.0,0.28,1.36,66
Aaron Kimber,0.0,0.43,0.0,0.39,0.17,0.99,32
Debra Mcbride,0.02,0.26,0.0,0.12,0.93,1.33,52
Angela Peterson,0.45,0.07,0.42,0.84,1.0,2.78,93
Magdalena Billie,1.0,0.77,0.0,1.0,1.0,3.77,90
Ruth Railey,0.32,0.49,1.0,0.35,1.0,3.16,78
Eric Kiser,1.0,0.0,0.46,0.0,0.82,2.28,38
Danny Riddle,0.0,0.42,0.13,0.0,0.47,1.02,34
Kevin Esparza,0.45,0.0,0.47,1.0,1.0,2.92,74
Mack Lunn,0.0,0.12,0.32,0.93,0.39,1.76,56
Donald Taylor,0.02,0.56,0.0,0.29,0.0,0.87,37
Thomas Baldino,0.0,0.23,0.85,0.4,0.0,1.48,34
Patricia Coverdale,0.0,0.62,0.91,0.0,0.89,2.42,59
Isabel Iglesias,0.06,1.0,0.0,0.45,0.42,1.93,56
Jacob Commons,0.19,0.0,0.52,0.07,0.17,0.95,31
Ellen Bear,0.59,1.0,0.0,0.0,0.69,2.28,66
George Navarez,0.93,1.0,1.0,0.91,0.58,4.42,82
Helen Landry,0.73,0.77,0.51,1.0,0.9,3.91,80
Xavier Barba,0.21,0.46,0.12,0.11,0.99,1.89,32
Zane Remo,0.27,0.0,0.0,0.28,1.0,1.55,30
Justin Jarvis,1.0,0.07,0.0,0.0,0.35,1.42,67
Jennifer Gatlin,0.81,1.0,1.0,0.0,0.5,3.31,89
Linda Buffalo,0.25,0.0,0.0,1.0,0.65,1.9,33
Barbara Seacat,0.93,0.0,0.93,0.29,0.78,2.93,86
Anne Freeman,0.3,0.94,1.0,0.2,0.35,2.79,87
Nicole Sloan,0.79,0.0,1.0,0.0,0.36,2.15,55
Dale Reilly,0.32,0.24,1.0,0.27,0.0,1.83,64
Joseph Mccain,0.0,0.74,0.14,0.65,0.46,1.99,32
Sara Weber,0.23,0.02,0.76,0.58,0.62,2.21,58
Michelle Barber,0.91,0.04,0.0,1.0,0.0,1.95,56
Judy Sheline,0.43,0.66,0.24,0.0,0.28,1.61,67
Yolanda Larsen,1.0,0.64,0.19,0.29,0.6,2.72,70
Ronald Odonnell,0.44,0.15,0.42,0.23,0.49,1.73,33
Josie Emond,0.33,0.43,0.0,0.4,0.77,1.93,36
Steven Lucas,1.0,0.0,0.0,0.25,0.0,1.25,66
Gregory Hampton,0.57,0.35,0.63,0.58,0.77,2.9,74
Jessica Nickerson,0.12,0.7,0.95,0.93,0.0,2.7,40
Frances Reed,1.0,0.0,0.0,0.45,0.12,1.57,31
Joseph Walker,0.11,0.49,0.39,0.49,0.43,1.91,45
Jane Greenhalgh,0.18,0.02,0.04,1.0,0.66,1.9,58
Clark Jacobson,0.11,0.9,0.35,0.0,0.22,1.58,65
Thomas Turner,0.0,0.42,0.95,0.08,0.32,1.77,65
Hipolito Rue,0.0,1.0,0.0,1.0,0.0,2.0,35
Joshua Teague,0.26,0.04,0.4,0.34,0.21,1.25,52
Seth Brough,0.0,0.25,0.62,1.0,0.0,1.87,50
Ena Hopper,0.15,0.01,0.06,0.61,0.45,1.28,39
Daisy Villalobos,0.84,0.24,1.0,0.35,0.0,2.43,49
Vanessa Yu,0.45,0.13,0.63,0.59,1.0,2.8,90
Robert Rojas,0.0,0.87,0.72,0.0,0.18,1.77,55
Dave Henderson,0.49,0.0,0.39,0.06,0.0,0.94,54
Michael Mabry,0.74,0.07,0.0,0.86,0.77,2.44,59
Latisha Harrigan,0.65,0.75,0.62,0.54,0.0,2.56,45
Elizabeth Donahoe,0.24,0.32,0.73,0.43,0.54,2.26,59
Mary Nguyen,0.0,0.0,1.0,0.61,0.4,2.01,66
Dean Hamson,0.17,0.63,0.83,0.39,0.74,2.76,81
Robert Sutton,0.0,0.33,0.57,0.64,0.14,1.68,32
William Hillman,1.0,1.0,0.8,0.88,0.42,4.1,86
Donald Crawford,0.01,0.54,0.56,0.5,0.19,1.8,66
Kim Donaldson,0.79,0.79,0.05,0.69,1.0,3.32,72
Teresa Rice,0.72,0.0,0.04,0.57,1.0,2.33,42
Sharon Doonan,0.17,0.53,0.75,0.21,0.28,1.94,55
Jerrod Gallegos,1.0,0.99,0.87,0.0,0.0,2.86,94
Annabelle Newkirk,0.45,0.0,0.32,0.81,0.34,1.92,41
Alice Clancy,0.0,0.25,0.0,0.14,0.84,1.23,39
David Kemper,0.03,0.59,0.76,0.54,0.0,1.92,58
William Brooks,0.0,0.29,0.0,0.0,0.0,0.29,42
James Zachmann,0.0,0.0,0.43,0.41,0.42,1.26,67
Carrie Waggner,0.19,0.96,1.0,0.34,0.19,2.68,31
Janice Lasure,0.85,0.34,1.0,0.0,0.56,2.75,82
Bruce Raines,0.11,0.79,1.0,0.73,0.36,2.99,92
Barbara Hernandez,0.0,0.0,0.32,0.64,0.8,1.76,68
Raphael Taylor,0.0,0.99,0.57,0.06,0.6,2.22,44
Gordon Oliveira,0.45,0.74,0.0,0.9,0.54,2.63,58
Maria Graffagnino,0.0,1.0,0.33,0.57,0.88,2.78,97
Georgia Gray,0.07,1.0,0.84,0.29,1.0,3.2,91
Peggy Cothren,0.68,0.78,0.47,0.05,0.13,2.11,39
Lakisha Avalos,0.0,1.0,0.08,0.0,0.0,1.08,57
Tara Brown,0.75,0.0,0.36,0.53,0.83,2.47,62
Paula Weaver,0.71,0.0,1.0,0.0,0.45,2.16,54
Rita Dillon,0.0,0.68,0.36,0.59,0.59,2.22,62
Jeffrey Hannum,1.0,0.27,0.0,0.23,0.71,2.21,38
William Schertz,0.0,0.68,0.33,1.0,0.37,2.38,46
Linda Carew,0.62,0.52,0.0,0.65,0.53,2.32,35
Mickey Roca,1.0,0.0,0.0,0.48,0.43,1.91,56
Cynthia Dickey,0.0,0.14,0.3,1.0,0.09,1.53,65
Charles Parker,0.32,0.0,0.91,0.56,0.71,2.5,32
Todd Encinas,0.28,0.79,0.0,0.56,0.74,2.37,61
Shane Karathanasis,0.43,1.0,0.87,1.0,0.53,3.83,95
Andrea Arch,0.91,0.0,0.0,0.0,1.0,1.91,52
Joan Jones,0.57,0.12,0.35,0.45,0.87,2.36,52
Rebecca Molina,1.0,0.51,1.0,0.09,0.08,2.68,55
Samuel Perkins,0.61,0.74,0.0,0.07,0.78,2.2,35
Travis Nyland,0.27,0.66,0.92,0.0,0.99,2.84,71
Shantell Gilliam,0.11,0.0,0.43,0.24,0.0,0.78,58
Babara Woodward,1.0,0.39,1.0,0.0,0.0,2.39,58
Sean Mcvay,0.25,0.55,0.0,0.0,0.35,1.15,54
Josephine Ables,0.25,0.98,0.0,0.25,0.51,1.99,63
Michelle Gresham,0.0,0.61,0.17,0.84,0.49,2.11,47
Gerald Person,0.22,0.37,0.0,0.71,1.0,2.3,54
Samuel Martin,0.7,0.06,0.33,0.25,0.13,1.47,38
David Mulligan,0.22,0.25,0.0,0.53,0.94,1.94,37
Cheryl Mason,0.32,0.81,0.63,0.63,0.5,2.89,83
Brenda Prince,0.75,1.0,0.0,0.84,0.06,2.65,65
Frank Johnston,0.48,0.23,0.72,0.32,0.0,1.75,56
Vern Race,0.57,0.0,1.0,1.0,0.7,3.27,85
Andy Archer,0.71,0.0,0.56,0.0,0.13,1.4,55
Lorraine Kornreich,0.43,0.0,0.26,0.65,0.91,2.25,36
Priscilla Hodges,0.0,0.47,0.23,0.55,0.06,1.31,62
Steven Kamai,0.0,0.11,0.97,1.0,0.94,3.02,85
Lillie Jenkins,0.0,0.0,0.75,1.0,0.0,1.75,68
Diana Manternach,1.0,0.55,0.33,0.0,0.45,2.33,63
Amanda Wright,1.0,0.79,0.95,0.64,0.47,3.85,94
Betty Carroll,0.85,0.13,0.0,0.69,0.0,1.67,49
Elinor Dixon,0.0,0.83,0.36,0.63,0.35,2.17,34
Jack Mcphail,0.0,0.76,0.3,0.0,1.0,2.06,51
Christopher Mills,0.72,0.84,0.34,0.58,0.33,2.81,70
Bill Keene,1.0,0.49,0.7,0.0,0.22,2.41,66
Louis Pritchard,0.39,0.2,0.71,0.06,0.0,1.36,43
Venus Pittman,0.65,0.76,0.0,0.35,1.0,2.76,90
Melina Rivera,1.0,0.9,0.75,0.0,0.12,2.77,91
